F1_Teams,Year,Points
RED BULL RACING,2023,860
RED BULL RACING,2022,759
RED BULL RACING,2021,585.5
MERCEDES,2023,409
MERCEDES,2022,515
MERCEDES,2021,613.5
FERRARI,2023,406
FERRARI,2022,554
FERRARI,2021,323.5
MCLAREN,2023,302
MCLAREN,2022,159
MCLAREN,2021,275
ASTON MARTIN ARAMCO,2023,280
ASTON MARTIN ARAMCO,2022,55
ASTON MARTIN ARAMCO,2021,77
ALPINE,2023,120
ALPINE,2022,173
ALPINE,2021,155
WILLIAMS,2023,28
WILLIAMS,2022,8
WILLIAMS,2021,23
ALPHATAURI,2023,25
ALPHATAURI,2022,35
ALPHATAURI,2021,142
ALFA ROMEO,2023,16
ALFA ROMEO,2022,55
ALFA ROMEO,2021,77
HAAS,2023,12
HAAS,2022,37
HAAS,2021,0

