lap,pos1,time1,pos2,time2,pos3,time3
1,MaxV,78,CharlesL,-1.697,CarlosS,-4.022
2,MaxV,115.5,CharlesL,-1.686,CarlosS,-3.256
3,MaxV,64.7,CharlesL,-0.574,CarlosS,-1.118
4,MaxV,69.7,CharlesL,-1.275,CarlosS,-1.866
5,MaxV,70,CharlesL,-1.665,CarlosS,-2.249
6,MaxV,70.2,CharlesL,-1.937,CarlosS,-2.492
7,MaxV,70.2,CharlesL,-2.074,CarlosS,-2.682
8,MaxV,70,CharlesL,-2.523,CarlosS,-3.146
9,MaxV,70,CharlesL,-2.841,CarlosS,-3.445
10,MaxV,69.9,CharlesL,-3.334,CarlosS,-4.159
11,MaxV,70.1,CharlesL,-3.714,CarlosS,-4.503
12,MaxV,69.8,CharlesL,-4.581,CarlosS,-5.332
13,MaxV,70.2,CharlesL,-5.243,CarlosS,-5.943
14,MaxV,73.6,CharlesL,-6.629,CarlosS,-9.411
15,MaxV,93.6,CharlesL,-6.817,CarlosS,-12.657
16,MaxV,79.6,CharlesL,-17.771,SergioP,-23.611
17,MaxV,69.9,CharlesL,-17.137,SergioP,-22.977
18,MaxV,70,CharlesL,-16.752,SergioP,-22.592
19,MaxV,69.9,CharlesL,-16.319,SergioP,-22.159
20,MaxV,70.2,CharlesL,-15.709,CarlosS,-21.35
21,MaxV,70.1,CharlesL,-14.947,CarlosS,-21.185
22,MaxV,70.3,CharlesL,-14.213,CarlosS,-21.047
23,MaxV,70.4,CharlesL,-13.67,CarlosS,-20.656
24,MaxV,73.5,CharlesL,-10.107,CarlosS,-17.138
25,CharlesL,69.9,CarlosS,6.802,MaxV,-7.134
26,CharlesL,69.9,MaxV,5.826,CarlosS,-8.855
27,CharlesL,69.9,MaxV,5.172,CarlosS,-9.641
28,CharlesL,70,MaxV,4.413,CarlosS,-10.347
29,CharlesL,70,MaxV,3.742,CarlosS,-11.203
30,CharlesL,69.9,MaxV,3.199,CarlosS,-12.033
31,CharlesL,70.3,MaxV,2.485,CarlosS,-12.768
32,CharlesL,70.4,MaxV,1.672,CarlosS,-13.411
33,CharlesL,70.4,MaxV,0.914,CarlosS,-13.823
34,CharlesL,70.3,MaxV,0.372,CarlosS,-14.067
35,MaxV,69.3,CharlesL,-1.254,CarlosS,-15.1
36,MaxV,69.4,CharlesL,-2.435,CarlosS,-16.069
37,MaxV,69.7,CharlesL,-3.399,CarlosS,-16.691
38,MaxV,69.6,CharlesL,-4.49,CarlosS,-17.434
39,MaxV,69.4,CharlesL,-5.828,CarlosS,-18.584
40,MaxV,69.4,CharlesL,-7.293,CarlosS,-19.516
41,MaxV,69.5,CharlesL,-8.594,CarlosS,-20.566
42,MaxV,69.5,CharlesL,-9.605,CarlosS,-21.576
43,MaxV,69.6,CharlesL,-10.637,CarlosS,-22.181
44,MaxV,69.7,CharlesL,-11.434,CarlosS,-23.18
45,MaxV,69.7,CharlesL,-12.258,CarlosS,-28.039
46,MaxV,69.6,CharlesL,-13.326,SergioP,-29.155
47,MaxV,69.5,CharlesL,-17.616,SergioP,-28.647
48,MaxV,69.4,SergioP,-34.379,CharlesL,-35.623
49,MaxV,73.2,SergioP,-30.798,CharlesL,-31.353
50,MaxV,86.3,SergioP,-13.393,CharlesL,-13.965
51,MaxV,68.2,CharlesL,-14.063,CarlosS,-15.017
52,MaxV,68.3,CharlesL,-14.861,CarlosS,-15.837
53,MaxV,68.2,CharlesL,-15.766,CarlosS,-16.777
54,MaxV,68.3,CharlesL,-16.394,CarlosS,-17.616
55,MaxV,68.3,CharlesL,-17.068,CarlosS,-18.736
56,MaxV,68.3,CharlesL,-17.792,CarlosS,-19.628
57,MaxV,68.4,CharlesL,-18.727,CarlosS,-21.11
58,MaxV,68.5,CharlesL,-19.46,CarlosS,-22.193
59,MaxV,68.6,CharlesL,-20.033,CarlosS,-23.91
60,MaxV,68.5,CharlesL,-20.455,CarlosS,-25.419
61,MaxV,68.5,CharlesL,-21.031,SergioP,-27.449
62,MaxV,68.6,CharlesL,-21.839,SergioP,-28.177
63,MaxV,68.6,CharlesL,-22.235,SergioP,-29.304
64,MaxV,68.7,CharlesL,-22.629,SergioP,-30.259
65,MaxV,68.9,CharlesL,-23.086,SergioP,-30.795
66,MaxV,68.6,CharlesL,-23.756,SergioP,-31.69
67,MaxV,68.9,CharlesL,-24.018,SergioP,-32.464
68,MaxV,69.2,CharlesL,-23.774,SergioP,-32.664
69,MaxV,72.2,CharlesL,-20.642,SergioP,-30.083
70,MaxV,87.8,CharlesL,-2.177,SergioP,-11.745
71,MaxV,67,CharlesL,-5.155,SergioP,-14.081
