"Year","Driver","Constructor","Country","Points","Poles","Races"
"2000","Michael Schumacher","Ferrari","Germany","108","9","17"
"2001","Michael Schumacher","Ferrari","Germany","123","11","17"
"2002","Juan Pablo Montoya","Williams-BMW","Colombia","50","7","17"
"2003","Michael Schumacher","Ferrari","Germany","93","5","16"
"2004","Michael Schumacher","Ferrari","Germany","148","8","18"
"2005","Fernando Alonso","Renault","Spain","133","6","19"
"2006","Fernando Alonso","Renault","Spain","134","6","18"
"2007","Lewis Hamilton","McLaren-Mercedes","United Kingdom","109","6","17"
"2008","Lewis Hamilton","McLaren-Mercedes","United Kingdom","98","7","18"
"2009","Jenson Button","Brawn-Mercedes","United Kingdom","95","4","17"
"2010","Sebastian Vettel","Red Bull-Renault","Germany","256","10","19"
"2011","Sebastian Vettel","Red Bull-Renault","Germany","392","15","19"
"2012","Lewis Hamilton","McLaren-Mercedes","United Kingdom","190","7","20"
"2013","Sebastian Vettel","Red Bull-Renault","Germany","397","9","19"
"2014","Nico Rosberg","Mercedes","Germany","317","11","19"
"2015","Lewis Hamilton","Mercedes","United Kingdom","381","11","19"
"2016","Lewis Hamilton","Mercedes","United Kingdom","380","12","21"
"2017","Lewis Hamilton","Mercedes","United Kingdom","363","11","20"
"2018","Lewis Hamilton","Mercedes","United Kingdom","408","11","21"
"2019","Charles Leclerc","Ferrari","Monaco","413","7","21"
"2020","Lewis Hamilton","Mercedes","United Kingdom","347","10","17"
"2021","Max Verstappen","Red Bull Racing-Honda","Netherlands","395.5","10","22"
"2022","Charles Leclerc","Ferrari","Monaco","454","9","22"
"2023","Max Verstappen","Red Bull Racing-Honda RBPT","Netherlands","575","12","22"
